goal,target,indicator,seriesdescription,geoareacode,geoareaname,timeperiodstart,value
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2020,5
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2021,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2021,8
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2023,15
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),2,Africa,2023,5
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),8,Albania,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2019,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2020,20
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2020,18
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2020,9
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2021,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2022,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2022,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2022,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2023,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),19,Americas,2023,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),32,Argentina,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2019,10
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2020,7
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2021,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2023,41
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2023,33
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2023,9
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),142,Asia,2023,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),36,Australia,2023,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),36,Australia,2023,8
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),53,Australia and New Zealand,2023,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),53,Australia and New Zealand,2023,8
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),52,Barbados,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),56,Belgium,2021,13
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),56,Belgium,2021,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),56,Belgium,2021,16
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),56,Belgium,2021,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),64,Bhutan,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),100,Bulgaria,2021,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),100,Bulgaria,2021,9
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),100,Bulgaria,2021,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),116,Cambodia,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),29,Caribbean,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),29,Caribbean,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),29,Caribbean,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),29,Caribbean,2020,5
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),29,Caribbean,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),13,Central America,2019,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),13,Central America,2020,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),13,Central America,2020,7
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),13,Central America,2020,15
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),13,Central America,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),13,Central America,2022,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),13,Central America,2022,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),13,Central America,2022,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),62,Central and Southern Asia,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),62,Central and Southern Asia,2019,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),62,Central and Southern Asia,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),62,Central and Southern Asia,2021,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),148,Chad,2021,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),152,Chile,2021,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),156,China,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),156,China,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),170,Colombia,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),188,Costa Rica,2022,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),188,Costa Rica,2022,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),188,Costa Rica,2022,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),188,Costa Rica,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),384,Côte d'Ivoire,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),384,Côte d'Ivoire,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),384,Côte d'Ivoire,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),191,Croatia,2021,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),191,Croatia,2021,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),192,Cuba,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),192,Cuba,2020,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),192,Cuba,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),203,Czechia,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),180,Democratic Republic of the Congo,2021,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),14,Eastern Africa,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2019,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2020,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2021,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2023,41
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2023,33
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2023,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2023,9
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),30,Eastern Asia,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),30,Eastern Asia,2019,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2021,12
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2021,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2021,12
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2021,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2023,12
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2023,19
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),151,Eastern Europe,2023,19
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),218,Ecuador,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),218,Ecuador,2020,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),218,Ecuador,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),222,El Salvador,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2019,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2020,7
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2021,23
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2021,30
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2021,17
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2021,45
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2022,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2022,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2023,29
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2023,28
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2023,53
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),150,Europe,2023,13
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2019,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2020,7
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2021,23
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2021,17
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2021,30
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2021,45
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2022,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2022,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2023,13
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2023,31
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2023,56
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),513,Europe and Northern America,2023,29
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),246,Finland,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),246,Finland,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),246,Finland,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),250,France,2023,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),250,France,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),276,Germany,2021,15
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),276,Germany,2021,5
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),276,Germany,2021,12
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),276,Germany,2021,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),320,Guatemala,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),340,Honduras,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),348,Hungary,2023,19
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),348,Hungary,2023,12
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),348,Hungary,2023,19
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),348,Hungary,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),356,India,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),360,Indonesia,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),360,Indonesia,2020,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),400,Jordan,2021,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),432,Landlocked developing countries (LLDCs),2019,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),432,Landlocked developing countries (LLDCs),2021,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),432,Landlocked developing countries (LLDCs),2023,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),418,Lao People's Democratic Republic,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2019,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2020,9
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2020,18
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2020,20
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2021,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2022,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2022,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),419,Latin America and the Caribbean,2022,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),428,Latvia,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),428,Latvia,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),199,Least Developed Countries (LDCs),2020,5
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),199,Least Developed Countries (LDCs),2021,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),199,Least Developed Countries (LDCs),2023,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),440,Lithuania,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),462,Maldives,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),462,Maldives,2019,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),462,Maldives,2019,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),484,Mexico,2020,13
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),484,Mexico,2020,7
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),484,Mexico,2020,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),17,Middle Africa,2021,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),496,Mongolia,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),504,Morocco,2021,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),504,Morocco,2021,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),508,Mozambique,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),528,Netherlands (Kingdom of the),2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),562,Niger,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),15,Northern Africa,2021,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),15,Northern Africa,2021,6
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),747,Northern Africa and Western Asia,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),747,Northern Africa and Western Asia,2021,9
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),747,Northern Africa and Western Asia,2021,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),747,Northern Africa and Western Asia,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),747,Northern Africa and Western Asia,2022,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),21,Northern America,2023,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),21,Northern America,2023,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),21,Northern America,2023,3
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),154,Northern Europe,2019,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),154,Northern Europe,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),154,Northern Europe,2020,2
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),154,Northern Europe,2020,4
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),154,Northern Europe,2020,1
['12'],['12.1'],['12.1.1'],Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),154,Northern Europe,2021,1
